original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 8/u4_3_from_ch_7_9_pendulum_potential_and_kinetic_energy_transitions.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_4_from_ch_7_13_infrared_bicycle_skid_heat_from_friction.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_14_san_francisco_cable_cars_transfer_energy_uphill_downhill.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_15_circus_diver_potential_energy_converts_to_kinetic_energy.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_16_lever_force_distance_work_input_equals_output.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_18_fixed_and_movable_pulleys_input_output_force.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_19_block_and_tackle_500n_load_force_distance_tradeoff.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_21_energy_transitions_mechanical_energy_to_thermal_energy.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_pp_circus_physics_art_bart_seesaw_energy_transfer.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_4_from_ch_7_pp_wind_generators_slow_wind_by_extracting_kinetic_energy.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_5_from_ch_7_23_electrolysis_hydrogen_and_oxygen_bubbles_fuel_cell_reverse.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 9/u4_5_from_ch_7_26_dry_rock_geothermal_power_water_circulation.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
