structure_id,category,applicability,destinations,content_types,response_type,required_representation,dok_range,bloom_process_descriptors,evidence_produced,works_well_when,avoid_when,security_suitability,provenance
ERROR-CRITIQUE-CLAIM-01,5. Error Diagnosis / Misconception,all math/science courses,"Practice, Formative, Discourse/Reflection",any topic with a common surface-plausible but wrong claim,short constructed-response,prose claim (given) + prose/quantitative rebuttal or support (produced),"3, can reach 4 if evaluating the claim requires the student to design or reference an investigation (pairs well with EXPDESIGN architectures)",Evaluate,"whether the student can construct an argument using evidence, not just recall the correct fact",targeting scientific-argumentation or mathematical-justification skills explicitly (CER-adjacent tasks),the claim is unambiguously true or false with no reasoning required to see it — becomes a disguised recall question,"Formative-preferred (open response is easy to game via memorized ""correct"" essay if reused)","general CER-style claim-evidence-reasoning structure, informed by the AP CED's ""Think Aloud"" sample activity type"
ESTIMATE-BEFORE-COMPUTE-01,6. Estimation & Approximation,all math/science courses,"Warm-Up, Notes",any computation with an intuitive magnitude check available,"short constructed-response (two-part: estimate, then compute)",numeric/prose estimate + full computation,2,"Understand, Apply","number sense and whether a student can self-check for reasonableness — catches ""calculator answers that don't make sense"" errors","building the habit of sanity-checking answers, especially before a unit involving calculator/technology use",the quantity has no intuitive magnitude reference for estimation (some abstract algebra contexts),Practice/Formative only,"general numeracy practice; also reflects Finney calc textbook's recurring ""Now try Exercise"" pattern of pairing conceptual estimate with algebraic confirmation (e.g., graphical estimate before algebraic solve)"
ESTIMATE-BOUND-CONFIDENCE-01,6. Estimation & Approximation,"APCalc, Physics, Bio, Chem","Practice, Summative","Riemann sums, measurement uncertainty, error propagation",short constructed-response,numeric with justified bound (over/under-estimate),3,Analyze,"whether students understand *why* an approximation method over/underestimates, not just how to compute it",reinforcing the conceptual link between Riemann sum type and function behavior,the function's monotonicity/concavity isn't given or determinable — the reasoning step has nothing to stand on,Summative-safe,standard AP Calculus reasoning pattern tied to CED Unit 6 (Integration and Accumulation of Change)
COMPARE-COMPETING-METHODS-01,7. Comparison & Justification of Methods,all math/science courses,"Notes, Practice, Discourse/Reflection",any topic with two genuinely valid solution strategies,short constructed-response,"two given worked solutions (correct, different methods) + prose comparison",3,"Analyze, Evaluate",depth of conceptual understanding — whether a student sees a topic as one rigid procedure or a flexible set of equivalent approaches,"two genuinely viable strategies illuminate an important distinction (e.g., completing the square vs. quadratic formula — one reveals vertex form, the other doesn't)","one ""method"" is actually wrong (that's ERROR-DIAGNOSE, not this) or the two methods are trivially identical with cosmetic differences — do not use as a generic wrapper for routine computation",Formative-preferred (open comparative reasoning is easy to templatize if reused verbatim),direct response to the documented Student A/Student B overuse failure in the Physics banks — this entry exists specifically to constrain that pattern to its valid use case
COMPARE-EFFICIENCY-CONTEXT-01,7. Comparison & Justification of Methods,"Alg1, Alg2, PreCalc","Practice, Summative",any topic where method choice depends on the specific numbers/structure given,short constructed-response,problem (given) + method choice with justification (produced),3,"Analyze, Evaluate",flexible strategic thinking vs. rote default-method application,students have a tendency to default to one memorized method regardless of structure (a very common failure mode worth targeting directly),all valid methods are genuinely equally efficient for the given instance,Summative-safe with new instances,"general strategic-flexibility framing, informed by CPM's frequent framing of ""which representation/method is most useful here"" discussion prompts"
PREDICT-EXTRAPOLATE-MODEL-01,8. Prediction & Extrapolation,"Alg1, Alg2, PreCalc, Bio, Physics","Practice, PT, Summative","any fitted model (linear, exponential, quadratic)",short constructed-response,data/model (given) → predicted value + reliability judgment (produced),3,"Apply, Evaluate","whether a student understands models as approximations with a validity range, not universal truth-generators","following any line/curve-of-best-fit unit, to counter the common failure of blind extrapolation",the prediction point is close enough to the data that reliability isn't a genuine question,Summative-safe,"CPM's recurring line-of-best-fit / prediction lesson structure (documented recurring pattern, not a specific problem)"
CONDITION-VERIFY-THEOREM-01,9. Theorem-Condition / Hypothesis Verification,"APCalc, Geo, PreCalc","Notes, Practice, Summative","any theorem with explicit hypotheses (IVT, MVT, Continuity, Squeeze Theorem, triangle congruence theorems)",short constructed-response,given function/figure + prose verification,"2–3 (3 when a hypothesis fails and student must explain *why* the theorem breaks down, not just say ""no"")","Understand, Analyze",whether students verify hypotheses out of habit or skip straight to applying conclusions (a well-documented AP scoring-loss pattern),"used consistently across a unit so hypothesis-checking becomes automatic, not a one-off gotcha",the hypotheses are trivially satisfied every time in your item set — the verification step becomes rote and stops being checked for real,Summative-safe,"AP Calculus CED Skill 3.C (""Confirm whether hypotheses or conditions of a selected definition, theorem, or test have been satisfied"") — the CED explicitly instructs ""students should establish the practice of explicitly verifying hypotheses before applying theorems"""
CONDITION-CLASSIFY-CASE-01,9. Theorem-Condition / Hypothesis Verification,"Geo, Alg2, PreCalc","Practice, Notes","classification tasks (triangle congruence criteria, conic sections, function families)",short constructed-response or selected-response,given information (diagram/equation) → classification + justification,2–3,"Understand, Analyze",whether students apply formal definitions or rely on visual/surface pattern-matching,a unit introduces several categories that share surface similarities,categories are visually unambiguous — no real classification reasoning occurs,Summative-safe,standard geometry classification-task structure; framing informed by Glencoe's counterexample-generation pattern for testing whether a general rule holds
DATA-BESTFIT-PREDICT-01,10. Data Interpretation,"Alg1, Alg2, Bio, Physics","Practice, PT, Summative","scatterplot analysis, correlation, line/curve of best fit",extended constructed-response,data set/scatterplot (given) → equation + prediction + reliability statement (produced),3,"Apply, Evaluate","whether a student critically evaluates a model's fit, not just mechanically executes regression",paired with MODEL-SELECT-BEST-FIT for full data-modeling fluency,the data is too clean — every real modeling task should include at least mild scatter/noise,Summative-safe with new data sets,CPM's line-of-best-fit lesson structure combined with AP-style outlier/reliability reasoning
TABLE-RECONSTRUCT-MISSING-CELLS-01,10. Data Interpretation,"Alg1, Alg2, Chem (stoichiometry tables), Physics (kinematics tables)","Practice, Warm-Up",any relationship expressible in a table with a consistent rule,table completion,partial table (given) → completed table + stated rule (produced),"2, reaching 3 if the table's spacing is irregular enough that pattern-continuation is actively unreliable","Apply, Analyze",whether a student has the actual functional rule vs. just a local pattern-completion trick,"you specifically want to break students of iterative ""add 3 each time"" pattern habits for a relationship that isn't actually linear",the relationship is genuinely linear with even spacing — pattern-continuation is a valid strategy there and shouldn't be treated as wrong,Formative,general function-table structure; scattered-blank design specifically informed by CPM's non-adjacent data table style
MISSING-INFO-IDENTIFY-NEEDED-01,11. Missing-Information / Underdetermined,all math/science courses,"Practice, Discourse/Reflection",any multi-variable relationship or formula,short constructed-response,"underdetermined problem (given) → identification of missing quantity (produced), no numeric solution required",3,"Analyze, Evaluate","whether a student understands the *structure* of a formula/relationship well enough to know what it depends on, rather than pattern-matching to ""plug numbers into formula""","countering the common failure of students attempting to solve anything presented as a ""solve for X"" problem regardless of whether it's actually solvable","used too frequently — if every problem in a set is unsolvable, students learn to distrust all problems rather than developing real judgment",Formative-preferred,"general critical-reasoning architecture; explicitly designed as a countermeasure to the ""always solvable"" assumption baked into most textbook problem sets"
ARGUE-COUNTEREXAMPLE-01,"12. Argument, Justification & Counterexample","Alg1, Alg2, Geo, PreCalc","Practice, Notes, Discourse/Reflection",any general claim/conditional statement that is sometimes but not always true,short constructed-response,general claim (given) → specific counterexample or valid-conclusion judgment (produced),3,"Analyze, Evaluate",whether a student can search for edge cases rather than accepting general claims after checking one or two confirming examples,targeting the common student habit of over-generalizing from limited examples,the claim's truth value is obvious without any search (defeats the purpose),Summative-safe if the claim set rotates,"Glencoe's deductive reasoning / counterexample lesson structure (Study Guide and Intervention: ""you need to find only one counterexample for the statement to be false"")"
ARGUE-JUSTIFY-GENERAL-CASE-01,"12. Argument, Justification & Counterexample","Alg1, Alg2, Geo, PreCalc, APCalc","Notes, PT, Summative","any pattern/rule that holds for a general case (algebraic identities, geometric theorems, number patterns)",extended constructed-response,prose/symbolic proof or general argument,3–4 (4 when full formal proof/generalization to arbitrary n or arbitrary case is required),"Analyze, Create (when the student must construct the argument structure themselves)",whether a student distinguishes empirical confirmation from genuine proof,a unit's culminating task should assess conceptual depth beyond procedural fluency,students haven't yet been taught what a general argument looks like in this domain — introduce via modeling before assessing,"Summative-safe, strong PT candidate","general proof/generalization architecture, standard across Common-Core-aligned algebra materials (Pearson's ""Essential Understanding"" framing routinely sets up general-case claims before specific practice)"
GRAPH-INFER-BEHAVIOR-01,13. Graphical Inference,"Alg1, Alg2, PreCalc, APCalc, Physics","Practice, Summative","any function/relationship where qualitative features (increasing/decreasing, sign, extrema, asymptotes, concavity) can be read from a graph without an equation",short constructed-response,graph only (no equation given) → qualitative feature identification (produced),"2, reaching 3 when features must be inferred by combining multiple graphical cues (e.g., determining concavity from a velocity-vs-time graph)","Understand, Analyze",whether a student's understanding of a feature is graph-native or dependent on having an equation to fall back on,you want to confirm conceptual (not just computational) fluency,the graph is too simple/idealized to distinguish related features from each other,Summative-safe,standard physics/calculus graph-reading architecture; the velocity-vs-position framing specifically targets a commonly documented misconception (confusing position and velocity graphs)
GRAPH-CONSTRUCT-FROM-CONSTRAINTS-01,13. Graphical Inference,"Alg1, Alg2, PreCalc, APCalc","Practice, PT",any function family,graph/diagram production,"verbal constraints (given) → original graph satisfying all constraints (produced) — deliberately open-ended, many correct answers exist",3–4,"Create, Evaluate (self-verification against constraints)","whether a student holds an integrated mental model of multiple graphical features simultaneously, rather than being able to identify each feature only in isolation",as a culminating/PT task after multiple individual GRAPH-INFER items have been used to build each feature separately,used before students can reliably read individual features — this architecture assumes GRAPH-INFER-level skills are already solid,Summative-safe (infinite valid answers make answer-sharing largely useless),"standard AP Calculus ""construct a function from qualitative behavior"" task type, widely used to assess conceptual (not computational) understanding of derivative behavior"
CER-CLAIM-EVIDENCE-REASONING-01,"14. Experimental Design / CER (Physics, Chem, Bio)","Physics, Chem, Bio","Practice, PT, Summative",any phenomenon explainable by a scientific principle,extended constructed-response,"data/observation (given) → claim + evidence + reasoning (produced), explicitly labeled",3,"Analyze, Evaluate","whether a student can construct scientific argument structure, not just recall the correct principle",it's the target skill itself (AP Science Practices explicitly include this structure),used for a phenomenon whose principle hasn't been taught yet — CER requires a reasoning resource to draw on,Formative-preferred; Summative-safe if phenomenon/data varies,standard CER framework used broadly in NGSS-aligned science instruction; matches the learning-ladder Science Practices already built into [[physics-curriculum]]
EXPDESIGN-CONTROL-VARIABLE-01,"14. Experimental Design / CER (Physics, Chem, Bio)","Physics, Chem, Bio","Practice, PT",any investigable relationship between two or more variables,extended constructed-response,"research question (given) → experimental design (produced): independent/dependent/controlled variables, procedure outline","4 (genuine experimental design, non-routine, requires synthesis)","Create, Evaluate","whether a student understands controlled-variable logic as reasoning about confounds, not just a checklist habit",used as a PT or unit-culminating task tied to an actual or simulated investigation,"used as a routine practice item — DOK 4 tasks are appropriately rare, not a daily architecture",Summative-safe (open design space resists memorization),standard experimental-design task type; aligned to AP Science Practices and the Science Practices structure already used in the [[physics-curriculum]] learning ladders
CER-MECHANISM-EXPLAIN-01,"14. Experimental Design / CER (Physics, Chem, Bio)","Physics, Chem, Bio","Notes, Practice, Summative","any phenomenon with an underlying causal mechanism (why, not just what)",short constructed-response,phenomenon/observation (given) → mechanistic explanation (produced),2–3 (3 when the mechanism involves multiple interacting causes),"Understand, Analyze",whether a student has moved from descriptive to explanatory/mechanistic understanding,"routinely, as the standard ""why"" companion to a ""what"" observation task",the mechanism hasn't been taught — don't use to introduce new content cold,Formative-preferred,"general mechanism-explanation architecture, standard in Hewitt-style conceptual physics instruction (used across [[physics-curriculum]])"
MULTISTEP-SYNTHESIS-CROSS-UNIT-01,15. Multi-Step Synthesis,"all courses, as capstone tasks","PT, Summative (final review)",any two skills from different units that combine naturally,extended constructed-response,"mixed, as needed by the combined skills",3,"Apply, Analyze",retention of earlier material and ability to recognize when it's needed without being told,"built for cumulative review, midterms, or finals","used routinely within a single unit — defeats the ""cross-unit"" purpose and just becomes a longer version of PROC-MULTISTEP",Summative-safe,"general cumulative-assessment design principle, standard practice for final/midterm construction"
MULTISTEP-REAL-CONTEXT-DECOMPOSE-01,15. Multi-Step Synthesis,"Alg1, Alg2, Physics, Chem","PT, Summative",any applied context requiring the student to identify which sub-problems are embedded,extended constructed-response,"rich context (given, more information than strictly needed) → decomposition into sub-questions + solution (produced)",3–4,"Analyze, Apply","whether a student can structure an ill-defined real problem into solvable pieces, the actual transferable skill behind ""word problems""","used sparingly, as a genuine capstone/PT task",used as routine practice — decomposition-from-scratch is cognitively demanding and shouldn't be the daily default,Summative-safe,general applied-modeling task structure; matches CPM's habit of embedding real-context word problems with more narrative detail than strictly required for the computation
PATTERN-EXTEND-NUMERIC-01,16. Pattern Recognition & Generalization,"Alg1, Alg2, cross-curricular (any grade band)","Warm-Up, Practice","sequences, numeric/visual patterns",short constructed-response,sequence of terms/figures (given) → next term(s) + stated rule (produced),"2, reaching 3 when the far term requires the closed-form rule rather than iteration","Understand, Analyze",whether a student has the generating rule or is just iterating one step at a time,introducing sequences/functions as rules rather than lists,"the ""far term"" is close enough that iteration is just as fast as the rule — defeats the purpose",Formative,"Cuoco/Goldenberg/Mark ""pattern sniffers"" habit of mind — general framing that instruction should require rule-finding, not just pattern-continuation"
PATTERN-GENERALIZE-CLOSED-FORM-01,16. Pattern Recognition & Generalization,"Alg2, PreCalc, APCalc (sequences/series units)","Notes, Practice, Summative","arithmetic/geometric sequences, series, recursive-to-explicit conversion",short constructed-response,several specific cases (given) → general/closed-form expression (produced),3,"Analyze, Create",whether a student generalizes or merely pattern-matches to the presented cases,paired with a verification step against an untested case,"used without ever asking the student to check their generalization — an unchecked ""guess a formula"" task doesn't confirm real generalization occurred",Summative-safe,"general algebra sequence-generalization structure; explicitly informed by Hess Cognitive Rigor Matrix's DOK 3 descriptor ""generalize a pattern"""
PARAM-VARY-CONJECTURE-01,17. Parameter Exploration & Experimentation,"Alg1, Alg2, PreCalc, APCalc, Physics","Notes, PT","any family of functions/relationships with a controllable parameter (slope, coefficient, amplitude, spring constant)",extended constructed-response,graph or table across multiple parameter values (produced by student) → written conjecture (produced),3,"Analyze, Create (conjecture formation)","whether a student can isolate a variable's effect through controlled comparison, a directly transferable skill to experimental science","introducing how a parameter affects a graph/behavior (transformations of functions, effect of amplitude/period in trig, effect of a rate constant)","the parameter's effect is already explicitly stated in notes — this architecture is for discovery, not review of known facts","Formative-preferred (discovery-oriented, not ideal to re-use verbatim)","Cuoco/Goldenberg/Mark habits-of-mind ""experimenters"" and ""tinkerers"" framing (fix all but one variable, vary parameters in regular ways); also matches AP Calculus CED's ""Create Representations"" sample activity type"
PARAM-EXTREME-CASE-01,17. Parameter Exploration & Experimentation,"PreCalc, APCalc, Physics","Notes, Practice, Summative","limits, asymptotic behavior, boundary conditions in physics formulas",short constructed-response,general expression/relationship (given) → behavior at an extreme/limiting case (produced),3,Analyze,whether a student uses extreme/limiting cases as a genuine reasoning strategy (a hallmark of expert problem-solving) rather than only computing within given bounds,"introducing limits, asymptotes, or ""what if this term is negligible"" physics reasoning",the extreme case is degenerate/undefined with no instructive value,Summative-safe,"Cuoco/Goldenberg/Mark ""extreme cases and passing to the limit"" — an explicitly named geometric/mathematical habit of mind"
INVARIANT-IDENTIFY-UNDER-TRANSFORM-01,18. Invariant & Transformation Reasoning,"Geo, Alg2, PreCalc","Notes, Practice","rigid transformations, function transformations, algebraic manipulations",short constructed-response,"object before/after a transformation (given, as diagram or expression) → identification of what stayed the same vs. what changed (produced)",2–3,Analyze,whether a student understands transformations structurally (what property defines the transformation) rather than just being able to execute one,"consolidating a transformations unit, specifically to prevent surface-level ""it just looks moved"" understanding",used before students can perform the transformation itself — invariant-reasoning assumes procedural fluency already exists,Summative-safe,"Cuoco/Goldenberg/Mark ""seeking geometric invariants"" — a named geometric habit of mind; also reflects Big Ideas Math's ""Structure"" (MP7) exercise framing"
CONTINUOUS-DEFORM-GENERALIZE-01,18. Invariant & Transformation Reasoning,"Geo, PreCalc","PT, Notes (with dynamic geometry tool)","circle theorems, geometric relationships that hold across a continuous family of configurations",extended constructed-response,"diagram with a movable element (given, ideally via dynamic geometry software) → general relationship that holds across all positions (produced)",4,"Analyze, Create","deep structural understanding of why a theorem is true across all cases, not just verification in one static diagram","used as a rare, high-value discovery task introducing a major theorem (inscribed angle theorem and its special cases are a classic example)","used routinely — this is a DOK 4 discovery architecture, appropriately infrequent","Formative/discovery-only, not summative","Cuoco/Goldenberg/Mark ""reasoning by continuity"" habit of mind, explicitly illustrated in their own writing using the inscribed-angle-theorem example as the canonical case"
PROBLEM-POSE-FROM-CONSTRAINTS-01,19. Problem Posing,all math/science courses,"PT, Notes (peer-exchange activities)",any topic where a class of valid problems shares a target structure,"extended constructed-response (student writes a new problem, then solves it)","constraints (given: e.g., ""must require factoring a trinomial with a negative leading coefficient"") → original problem + solution (produced)",4,Create,"genuine mastery of a problem type's structure — a classic sign a student ""gets it"" is being able to construct new correct instances of it","as a unit-culminating or review task, especially good for peer-exchange activities (CPM's collaborative structure fits naturally here)","used with a skill that's still shaky — problem-writing requires more fluency than problem-solving, not less",Summative-unsuitable as a graded item bank source (every instance is unique by design) but excellent for PT/review,"Hess Cognitive Rigor Matrix DOK 4 Create descriptor, ""formulate an original problem given a situation"""
PROBLEM-POSE-MATCH-TARGET-01,19. Problem Posing,"Alg1, Alg2, PreCalc","Practice, Notes",any topic where a specific target answer/equation is given,short constructed-response,target equation or answer (given) → original context/scenario that would produce it (produced),3–4,"Create, Evaluate (self-checking that the scenario matches)","whether symbolic fluency is connected to real-world meaning, or purely mechanical",used after REPTRANS-TRANSLATE-VERBAL-SYMBOLIC has been taught in the forward direction — this is the natural reverse-direction follow-up,introducing equation-writing for the first time — this reverse task assumes forward translation is already comfortable,Formative-preferred,"general reverse-translation architecture, a natural complement to CPM's forward-direction ""match sentence to translation"" pattern"
UNITCONV-DIMENSIONAL-CHAIN-01,20. Unit Conversion & Dimensional Reasoning,"Physics, Chem, Alg1 (rates/ratios units)","Warm-Up, Practice","any multi-unit conversion (metric/customary, compound units like m/s to km/h)",short constructed-response,"given quantity with units → converted quantity via explicit factor-label/dimensional-analysis chain (produced, showing units canceling)",2,Apply,"whether a student tracks units as a self-checking mechanism, a foundational science skill","early in any science course, and as a recurring low-stakes check throughout",the conversion is trivial (single familiar factor) — save the architecture for genuinely multi-step chains where unit-tracking prevents errors,Summative-safe (numbers/units vary easily),"standard factor-label method used across Glencoe and Pearson science-adjacent materials; Hess CRM DOK 1–2 descriptor ""make conversions among representations or numbers, within and between customary and metric measures"""
UNITCONV-VERIFY-PLAUSIBILITY-01,20. Unit Conversion & Dimensional Reasoning,"Physics, Chem","Practice, Formative",any formula combining multiple physical quantities,short constructed-response,"a claimed formula or equation (given, possibly incorrect) → dimensional check (produced)",3,"Analyze, Evaluate","whether a student can use dimensional analysis as an error-checking tool, a genuine practicing-scientist habit","paired with VERIFY-REASONABLENESS as part of a broader ""sanity check your work"" instructional emphasis",students haven't yet learned to track units through formulas — this assumes UNITCONV-DIMENSIONAL-CHAIN fluency already exists,Formative-preferred,"standard physics dimensional-analysis-as-error-check technique, widely used across conceptual physics instruction (Hewitt-style courses, informing [[physics-curriculum]])"
VECTOR-DECOMPOSE-COMPONENTS-01,21. Vector & Diagram Construction (Physics),Physics,"Notes, Practice, Summative","projectile motion, inclined planes, force analysis",short constructed-response + diagram,"vector at an angle (given) → x/y component decomposition (produced), with diagram","2–3 (3 when the angle reference is non-standard and requires geometric reasoning to set up correctly, not just formula recall)","Apply, Analyze","whether a student understands vector decomposition geometrically or has just memorized ""x is cosine""",varying the angle reference deliberately across a problem set to prevent the sine/cosine memorization shortcut,always using the same angle reference (horizontal from the right) — this is exactly what allows the memorization shortcut to go undetected,Summative-safe,standard physics vector-decomposition task type; angle-reference-variation strategy included specifically as a countermeasure to a well-documented sine/cosine memorization shortcut
FREEBODY-DIAGRAM-CONSTRUCT-01,21. Vector & Diagram Construction (Physics),Physics,"Notes, Practice, Summative","forces, Newton's laws",diagram production + short constructed-response,"described physical situation (given, prose or picture) → free-body diagram with labeled forces (produced)",3,"Analyze, Apply",whether a student can correctly identify which forces act on which object — the single most diagnostic skill for early mechanics understanding,"used consistently as a required first step before any force-based numeric problem, not just as a standalone task","never — this should be a default companion step attached to nearly every force-related problem, not a rare special architecture",Summative-safe,"standard, near-universal physics instructional architecture; explicitly a Science Practice skill embedded in the [[physics-curriculum]] learning ladders"
